Aal,0,0,0,1,0,0,0,0,0,0
Abakus,0,0,0,0,0,0,0,0,0,1
Abb,0,0,0,0,0,0,1,0,0,0
Abbrechen,0,0,0,0,0,1,0,1,0,0
Abbruch,0,0,1,1,0,1,0,1,0,0
Abdeckung,0,0,0,0,0,0,0,0,0,0
Abdomen,0,0,0,0,0,0,0,0,0,0
Abdruck,0,0,0,0,0,1,0,0,0,0
Abend,0,0,0,0,0,0,0,0,0,0
Abendessen,0,0,0,0,0,0,0,0,0,0
Abenteuer,0,1,0,0,0,0,1,0,0,0
Abenteurer,0,0,0,0,0,0,0,0,0,0
Aberglaube,0,0,0,1,0,1,1,0,0,0
Abfackeln,0,0,0,0,0,0,0,0,0,0
Abfahrt,0,0,0,0,0,1,0,1,0,0
Abfall,0,0,0,0,0,1,0,0,0,0
Abfangen,0,0,0,0,0,0,0,0,0,0
Abfindung,0,0,0,0,0,0,0,1,0,0
Abfluss,0,0,0,0,0,0,0,0,0,0
Abführmittel,0,0,1,1,0,1,0,0,0,0
Abgang,0,0,0,0,0,0,0,0,0,0
Abgelegenheit,0,0,0,0,0,0,0,0,0,0
Abgeschiedenheit,0,0,0,1,0,1,1,0,0,0
Abgrenzung,0,0,0,0,0,0,0,0,0,0
Abgrund,0,0,0,1,0,1,0,1,0,0
Abhandlung,0,0,0,0,0,0,0,0,0,0
Abhilfe,0,0,0,0,0,1,0,0,0,0
Abhängigkeit,0,0,0,1,0,1,0,1,0,0
Abitur,0,0,0,0,0,0,1,0,0,0
Abkürzung,0,0,0,0,0,0,0,0,0,0
Ablage,0,0,0,0,0,0,0,0,0,0
Ablauf,0,0,0,0,0,0,0,0,0,0
Ableben,0,0,0,1,0,1,0,1,0,0
Ableger,0,0,0,0,0,0,1,0,0,0
Ablehnung,0,0,0,0,0,1,0,0,0,0
Ableitung,0,0,0,0,0,0,0,0,0,0
Ablenkung,0,0,0,0,0,0,0,0,0,0
Ablösung,0,0,0,0,0,1,0,0,0,0
Abmessungen,0,0,0,0,0,0,0,0,0,0
Abneigung,1,0,1,1,0,1,0,0,0,0
Abonnement,0,0,0,0,0,0,0,0,0,0
Abonnieren,0,1,0,0,0,0,0,0,0,0
Abplatzen,0,0,0,0,0,0,0,0,0,0
Abrieb,0,0,0,0,0,1,0,0,0,0
Abriss,0,0,0,0,0,1,0,0,0,0
Abruf,0,0,0,0,0,0,0,0,0,0
