"id";"description";"anger";"fear";"surprise";"sadness";"joy";"disgust";"envy";"jealousy";"other"
"1065824423455980";"Ich bin auf einen hoffentlich ehrlichen abschließenden Brandbericht gespannt. Und anschließend auf die Erklärungen der ganzen Komiker aus Politik, Presse, Rundfunk, Fernsehen und der sogenannten Promis, die glaubten die Täter noch während des Brandes schon ausgemacht zu haben. Keine äußeren Beschädigungen am Gebäude, ein ganzer Dachstuhl brennt gleichzeitig, eventuell noch über eine Brandwand hinaus. Wer kann fast 10 Meter hoch mit dem ersten Wurf, an der höchsten Stelle soll der Brand begonnen haben, gezielt einen Brandsatz durch keine (!) Öffnung werfen? Also ein Versicherungsbetrug oder ein Versuch eine beispiellose Hetze gegen Sachsen die AfD und Pegida anzuzetteln. Ein technischer Schaden soll wohl schon ausgeschlossen sein - wovon auch? Schauen wir mal, vor allem auf Reaktionen danach, denn bis jetzt war es nur primitive Hetze ohne jegliche Beweise  !!!!!!!";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1069073689797720";"Und sowas ist Ministerpräsident. Unglaublich.";FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
"1064411476930608";"Sabine Zimmermann das ist natürlich ein mega gutes Beispiel. Logisch sagen sie da das es brennt, damit sie es den bösen, bösen Nazis anhängen können. Wenn aber unsere Neuankömmlinge Scheiße bauen wird immer versucht das Mäntelchen der Verschwiegenheit darüber zu decken. Allein ihr Kommentar zeigt wie naiv sie sind.";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1064883423550080";"Silvia Köln wir brauchen etwas länger, sind aber auf einem guten Weg !";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
"1064352826936473";"Leider war es brandstiftung aber ich gehe von einem versicherungsbetrug aus aber in die richtung denkt ka KEINER";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1069126653125757";"Im übrigen hatte ich auf einen Post geantwortet der nun verschwunden ist.....? Hier ein Link zu dieser linken Seite 
Meiner Meinung nach ein Fake  von ungebildeten Kindern die gern mal dem Schwesterchen unter den Rock greifen möchte.";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1065822346789521";"ich denke mal , die wollen uns sachsen einer gehirnwäsche mit politischer propaganda bombardieren, daß lassen wir uns nicht gefallen !!!";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1065868516784904";"Gutmenschen-Hirnverneblersprüche.......naja fällt niemand mehr drauf rein. Gutes kann auch nicht aus billigst gekauften Altparteienknechten entstehen.";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1064356010269488";"Deutsch un frei woll ma sei, un da bleim ma a dobei, weil ma ärzgebirger sei!!!!
??????????????";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1069076336464122";"Volker beck.  Komm zurück! Der merkt ja noch weniger.....     alter schwede....";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1069221583116264";"Peter Freienhagen , du hast vollkommen recht! Aber ich glaube das ist vergebene Liebesmüh. Unserer Jugend geht das alles am A........ vorbei. Die haben keine richtigen Werte vermittelt bekommen und wir die Erwachsenen sind auch keine Vorbilder mehr, an die sich ein junger Mensch orientieren könnte. Das haben wir alle mächtig versaut!";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1065882156783540";"Ich weiss gar nicht warum die so laut bellen,wer leute wie marinrichter filbinger in seiner partei hofiert hat soll doch heute nicht auf die jugend schimpfen. die haben von den alten  gelernt!";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1065811200123969";"Unsere Kinder können ruhig bis zu einer Stunde mit dem Bus zur Schule und zurück fahren, Hauptsache die Flüchtlinge sind gut untergebracht.";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1064370850268004";"Sachsen lasst Euch bloß nicht unterkriegen von den Versagerpolitikern und der Lügenpresse ??";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1065803673458055";"Bevor unsere Kinder politische Bildung brauchen,  brauchen unsere Politiker erst mal eine Stunde Aufklärung über Demokratie! !! Nicht die Politiker haben das sagen, sondern das Volk! !!!";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1064905916881164";"Beim Lesen der Kommentare kann man nur dümmer werden ????";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"1064358533602569";"ich bin nur ein halber Sachse ( halber Schlesier und halber Sachse). Aber nach dieser politischen Provokation wieder auf BAUTZEN usw, sitze ich fest im Sattel mit den Sachsen!!";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
